SYVNG1HANU3AVAS8E3KH,24 Hr Flex Fitness Club,The Leading 24 HR Fitness Club Serving The Delta & Surrey Community for over a decade! We Have A Huge Fitness Facility- Strength & Weight Training- Cardio- Infrared Saunas- Personal Training- Chiro- Fitness Classes- & More! Our goal is to help our community live a healthy lifestyle through weight loss- burning fat- building muscle- and encouraging healthy habits.…,7130 120 Street,Unit 213,https://s3-media0.fl.yelpcdn.com/bphoto/KvV54LAVqTKCXA_iQWT1wA/l.jpg,Open 24 hours,2,1 km,$14 / mo
7LV0WF51T9S96A79WISF,BodyByBrandt,Your trust is our top concern- so businesses can't pay to alter or remove their reviews. Learn more.,3198 Saint Johns Street,Port Moody  BC V3H 2C7,https://s3-media0.fl.yelpcdn.com/bphoto/ip-4SPWqzC21YDRrKOSPSg/l.jpg,8:00 AM - 9:00 PM,5,3 km,$30 / mo
OULVLNEUO2OHE7DT8HDN,Engineered Bodies Strength & Conditioning,Are you tired of being bombarded by fitness ads that focus on how you look rather than how you feel or what you can accomplish?  Are you tired of feeling blah or low energy? Are you looking for a supportive community that encourages you to work hard but also have fun? We can help! We focus on what you can do and how you feel. We believe in movement quality before quantity. Our philosophy is centred on assessing your movement and exercise progressions that are right for you. We believe in sustainable progress for life. This isn't just a quick fix. Interested? Our CrossFit Kickstart program offers a taste of everything Engineered Bodies has to offer. Check out our website for details. Come visit us! We are located next to the Moody Centre Skytrain station.…,2822 Spring Street,Suite 4,https://s3-media0.fl.yelpcdn.com/bphoto/8xIZtQKPwGptAEXDU5oSDw/l.jpg,6:00 AM - 1:00 PM- 5:30 PM - 7:30 PM,1,2 km,$22 / mo
TE2SGHCPV9MFTGC6J2W4,Peak Synergy Fitness,Our Port Coquitlam personal training center has earned the reputation as the best fitness center for one-on-one and group training sessions for a reason. Peak Synergy Fitness offers unparalleled- expert personal trainers for better health- fitness and lifestyle consulting.  Our Port Coquitlam personal training packages are affordable and we use only  proven techniques to help you improve your overall health and fitness that will help you achieve your own personal wellness. Peak Synergy Fitness is a fitness facility unlike any you have ever seen.…,2071 Kingsway Avenue,Suite 704,https://s3-media0.fl.yelpcdn.com/bphoto/0nzIQnhz3bgqdJYY2pk-_Q/l.jpg,9:00 AM - 9:00 PM,4,4 km,$35 / mo
0D9LI1I4SXTTZE1QYGM1,Gravity Laboratory,Your trust is our top concern- so businesses can't pay to alter or remove their reviews. Learn more.,3066 Saint Johns Street,Port Moody  BC V3H 2C5,https://s3-media0.fl.yelpcdn.com/bphoto/thZeTWs6ISau5bF3fvWNJw/l.jpg,4:30 AM - 10:30 PM,5,20 km,$17 / mo
5U2LA61OR2C69953044T,GoodLife Fitness Burnaby Sovereign,Your trust is our top concern- so businesses can't pay to alter or remove their reviews. Learn more.,4501 Kingsway,Burnaby  BC V5H 4V8,https://s3-media0.fl.yelpcdn.com/bphoto/c3VeRUR-K5z5QYgYTp4mGg/l.jpg,6:00 AM - 11:00 PM,5,10 km,$16 / mo
M7O45DNP5L5P3C0OWKO2,Fitness 2000,Fitness 2000 is the most complete gym in the Burnaby- Coquitlam and Tricity area. Our facility offers a new 800sq ft Functional Training Center- 60ft indoor pool/hot tub- sauna- steam room- group fitness classes and two weight rooms- physiotherapy- personal training- active rehabilitation and registered massage therapy. We offer no long term contracts and the ability to freeze your membership  should you need any time away from the gym at no extra charge.…,9304 Salish Court,Burnaby  BC V3J 7C5,https://s3-media0.fl.yelpcdn.com/bphoto/v4iFbjqgPQaUmexuKQB3cQ/l.jpg,5:30 AM - 12:00 AM (Next day),1,6 km,$16 / mo
74XNTWF0ARQTNM445UNQ,Orangetheory Fitness Port Moody,Welcome to Orangetheory Fitness- the energizing group interval fitness concept that is sweeping the nation! Orangetheory Fitness is a one-of-a-kind workout broken into intervals of cardiovascular and strength training- using a variety of equipment including treadmills- rowing- TRX straps- and free weights to tone your body and gain energy throughout the day.…,400 Capilano Rd,Ste 11,https://s3-media0.fl.yelpcdn.com/bphoto/xpc1dYLbhGvotOIVTvw4tQ/l.jpg,5:00 AM - 9:45 PM,3,15 km,$10 / mo
DR1AM01JXIKMC4B8ICIW,24 Hr Flex Fitness Club,The Leading 24 HR Fitness Club Serving The Delta & Surrey Community for over a decade! We Have A Huge Fitness Facility- Strength & Weight Training- Cardio- Infrared Saunas- Personal Training- Chiro- Fitness Classes- & More! Our goal is to help our community live a healthy lifestyle through weight loss- burning fat- building muscle- and encouraging healthy habits.…,7130 120 Street,Unit 213,https://s3-media0.fl.yelpcdn.com/bphoto/KvV54LAVqTKCXA_iQWT1wA/l.jpg,Open 24 hours,1,5 km,$20 / mo
WN93FKT9AHZSSGVRFLMG,BodyByBrandt,Your trust is our top concern- so businesses can't pay to alter or remove their reviews. Learn more.,3198 Saint Johns Street,Port Moody  BC V3H 2C7,https://s3-media0.fl.yelpcdn.com/bphoto/ip-4SPWqzC21YDRrKOSPSg/l.jpg,8:00 AM - 9:00 PM,3,1 km,$14 / mo
UDSL6C09N1KI68FQEZUU,Engineered Bodies Strength & Conditioning,Are you tired of being bombarded by fitness ads that focus on how you look rather than how you feel or what you can accomplish?  Are you tired of feeling blah or low energy? Are you looking for a supportive community that encourages you to work hard but also have fun? We can help! We focus on what you can do and how you feel. We believe in movement quality before quantity. Our philosophy is centred on assessing your movement and exercise progressions that are right for you. We believe in sustainable progress for life. This isn't just a quick fix. Interested? Our CrossFit Kickstart program offers a taste of everything Engineered Bodies has to offer. Check out our website for details. Come visit us! We are located next to the Moody Centre Skytrain station.…,2822 Spring Street,Suite 4,https://s3-media0.fl.yelpcdn.com/bphoto/8xIZtQKPwGptAEXDU5oSDw/l.jpg,6:00 AM - 1:00 PM- 5:30 PM - 7:30 PM,5,3 km,$12 / mo
OD7HK7S9WC70NQZBV8Y3,Peak Synergy Fitness,Our Port Coquitlam personal training center has earned the reputation as the best fitness center for one-on-one and group training sessions for a reason. Peak Synergy Fitness offers unparalleled- expert personal trainers for better health- fitness and lifestyle consulting.  Our Port Coquitlam personal training packages are affordable and we use only  proven techniques to help you improve your overall health and fitness that will help you achieve your own personal wellness. Peak Synergy Fitness is a fitness facility unlike any you have ever seen.…,2071 Kingsway Avenue,Suite 704,https://s3-media0.fl.yelpcdn.com/bphoto/0nzIQnhz3bgqdJYY2pk-_Q/l.jpg,9:00 AM - 9:00 PM,2,2 km,$10 / mo
TFGQIHNDC8Y90FGZOT6Y,Gravity Laboratory,Your trust is our top concern- so businesses can't pay to alter or remove their reviews. Learn more.,3066 Saint Johns Street,Port Moody  BC V3H 2C5,https://s3-media0.fl.yelpcdn.com/bphoto/thZeTWs6ISau5bF3fvWNJw/l.jpg,4:30 AM - 10:30 PM,3,4 km,$30 / mo
8GK8TY6T3CAM1S8QR2HP,GoodLife Fitness Burnaby Sovereign,Your trust is our top concern- so businesses can't pay to alter or remove their reviews. Learn more.,4501 Kingsway,Burnaby  BC V5H 4V8,https://s3-media0.fl.yelpcdn.com/bphoto/c3VeRUR-K5z5QYgYTp4mGg/l.jpg,6:00 AM - 11:00 PM,3,20km,$26 / mo
